rating,date,skinType,skinTone,skinTrouble,repurchase,content
"5","2026.04.03","건성","웜톤","미백, 주름","False","피지오겔 DMT 페이셜크림 더블기획을 올리브영에서 구매해서 사용해봤다. 일단 100ml 두 개 구성이라 용량은 넉넉한 편이고, 가격 대비 가성비는 괜찮다고 느껴졌다. 평소 피부가 건조한 편이라 보습 위주 제품을 찾는 편인데, 이 제품은 바르는 순간 자극 없이 부드럽게 발리는 점이 좋았다. 크림 제형이 너무 무겁지도, 그렇다고 가볍게 날아가는 느낌도 아니라서 데일리로 쓰기 무난하다.

흡수력은 빠른 편은 아니지만, 그렇다고 끈적임이 오래 남지는 않는다. 바르고 나면 피부에 얇게 보호막이 씌워진 느낌이라 건조함이 확실히 덜해진다. 특히 세안 후 바로 발라주면 당김이 거의 없어지는 점은 만족스럽다. 다만 지성 피부라면 살짝 답답하게 느낄 수도 있을 것 같다.

향은 거의 없는 수준이라 호불호 없이 쓰기 좋고, 민감한 피부에도 부담이 적은 편이다. 트러블이 올라오거나 따가운 느낌은 없었고, 전반적으로 순한 제품이라는 인상이 강하다. 다만 즉각적인 드라마틱한 변화보다는 꾸준히 써야 효과가 느껴지는 타입이다.

총평하면, 자극 없고 기본에 충실한 보습 크림이다. 특별히 화려한 기능은 없지만, 피부가 건조하거나 예민할 때 안정적으로 사용할 수 있는 제품이라 하나쯤 가지고 있으면 괜찮다.
        
        
              
                ... 더 보기"
"5","2026.04.15","","","","False","생각보다 조금씩 덜어서 발라야 좋을 것 같아요
건조하다고 듬뿍 발랐더니 흡수하는데 시간이 좀 걸렸어요"
"5","2026.04.13","트러블성","가을웜톤","잡티, 미백, 트러블","False","순한 보습크림이에요. 이번 겨울에 보습크림에 정착하지 못해서 이것저것 다 구매해봤는데 수부지인 제 피부에는 적당히 무난하게 사용하기 좋았어요!"
"5","2026.04.10","복합성","쿨톤","잡티, 모공","False","자기 전 보습크림으로 사용하고있어요!
너무 무겁지 않고 순해서 좋아요
1+1 기획이라 오래 쓸 것 같아요~~"
"5","2026.04.09","복합성","가을웜톤","잡티, 트러블","False","피지오겔 데일리 모이스처 테라피 
리제너러티브 크림 한 통 다 쓰고 새로 구입 해 봤어요 

리제너러티브랑 차이는 제형감에서부터 다르네요 
이게 더 유분많고 꾸덕해요!  
곧 여름이라서 조금 부담스럽긴 한데 😭 잘 써 보고 추가 후기 남길게요"
"5","2026.04.09","건성","봄웜톤","주름, 트러블","False","무난하게 사용하기 좋은 피지오겔이에요! 원플원으로 싸게 구매해서 넘 조아용ㅎㅎ 이걸로 사계절 바르는 것 같아요."
"5","2026.04.07","복합성","여름쿨톤","트러블, 모공","False","건조하고 피부 장벽이 약해졌을 때 피지오겔 DMT 페이셜크림만 한 게 없어요. 제형은 꽤 꾸덕한 편인데 바르면 피부에 얇은 보호막을 씌운 느낌이라 밤에 바르고 자면 다음 날까지 당김이 덜했어요. 특히 환절기나 겨울철에 속건조 심할 때 바르면 피부가 편안해지고 붉은기 올라오는 것도 조금 진정되는 느낌이에요. 무향에 가까워서 민감한 피부에도 부담이 적고 순한 보습크림 찾는 분들이 많이 찾는 이유를 알겠더라고요. 다만 유분감이 좀 있는 편이라 지성 피부나 여름철에는 조금 무겁게 느껴질 수 있을 거 같아요. 메이크업 전에 많이 바르면 밀리거나 번들거릴 수 있어서 저는 밤에만 바릅니다."
"5","2026.04.06","복합성","쿨톤","잡티, 모공","False","✔️보습? 믿고 쓰는 피지오겔
✔️꾸덕꾸덕, 유분기 채우기에 좋은 제품

💛유분을 채워주는 제품
꾸덕꾸덕하고 무거운 느낌이예요 확실히 순하고 피부에는 건강한 제품이라는게 성분에서도, 체감도 잘 됩니다 다만 유분기가 높은 제품이라 좁쌀이 올라온다는 평이 많았어요ㅠ 지성이신 분들은 피하거나 바디에 사용해도 괜찮을 것 같아요

💛리제너레이티브와 비교
-DMT : 꾸덕꾸덕, 유분 충전, 무거운 발림성
-DMT 리제너레이티브 : 몽글몽글, 수분+유분 충전, 중간 발림성"
"5","2026.04.06","","","","False","평소 건조함 때문에 예민해진 피부라 보습에 신경을 많이 쓰는 편이고 신뢰감을 갖고 쟁여봤어요 ㅎㅎ

바르자마자 피부에 얇은 보호막이 씌워진 느낌이라 속건조를 꽉 잡아주는 게 느껴지는데 보습력이 전보다 2배나 개선됐다고 하더니 확실히 지속력이 남다르고 
피부 장벽 개선에도 도움을 준다니까 
꾸준히 바를수록 피부 바탕이 전보다 탄탄하고 건강해지는 기분~

제형이 겉돔없이 쫀쫀하게 밀착되니까 아침저녁으로 듬뿍 발라도 메이크업 밀림 없이 찰떡같이 잘 먹어서 너무 만족!! 
넉넉한 용량이니  얼굴은 물론 목까지 아낌없이 발라주는데 피부 컨디션이 늘 촉촉하게 유지돼서 거울 볼 때마다 피부 결이 전보다 훨씬 매끄러워진 느낌이 든답니다ㅎㅎ"
"5","2026.04.11","복합성","가을웜톤","잡티, 미백","False","피지오겔 DMT 페이셜크림~
피지오겔 좋은 건 말해 뭐해요
많이 묽지도 되직하지도 않아서 바르기 좋아요 
흡수도 잘 되구요
향도 무향이라서 저는 좋아요"
