rating,date,skinType,skinTone,skinTrouble,repurchase,content
5,2026.05.12,,,,FALSE,요즘 피부가 많이 건조해서 구매했는데 수분감이 정말 장난 아니에요! 젤 제형이라 발림성이 아주 부드럽고 피부에 겉도는 느낌 없이 쏙 흡수됩니다. 바르고 나면 피부 속부터 수분이 차오르는 느낌이라 하루 종일 당김이 없어요. 끈적이지 않고 산뜻하게 마무리돼서 메이크업 전에 발라도 화장이 아주 잘 먹네요. 민감성 피부인데 자극 없이 순해서 매일 데일리로 잘 쓰고 있습니다!
5,2026.04.28,,,,FALSE,"광고믿고  구매해봅니다
전에 서용하던 제품에서  갈아탄것을 후회하지않도록"
5,2026.05.03,,,,FALSE,사실 광고처럼 그렇게 드라마틱한 효과는 없구요. 그정도를 바라고 산건 아니라 실망하진 않았습니다. 그냥 보습크림 정도 생각하고 구매하심 될거같아요
5,2026.03.30,복합성,웜톤,"잡티, 주름",FALSE,"광고 많이 뜨다가 수분크림 필요해서 샀어요
묵직하지도 가볍지도 않고 딱 좋아요"
5,2026.04.23,,,,FALSE,"앰플이랑 수분크림 같이 쓰면 씨너지 효과가 좋습니다
두가지는 계속 해서 사용하는데 크림이 무겁지 않아서 좋아요"
5,2026.05.05,트러블성,쿨톤,"트러블, 블랙헤드",FALSE,"요즘 수분크림 찾다가 구매해서 사용 중인데, 전체적으로 무난하게 잘 쓰고 있어요.

제형은 너무 무겁지 않은 크림 타입이라 바를 때 부드럽게 발리고, 흡수도 빠른 편이라 끈적임 없이 마무리되는 점이 좋았어요. 바르고 나면 피부가 겉도는 느낌 없이 촉촉하게 채워지는 느낌이라 데일리로 쓰기 괜찮았어요.

보습력은 엄청 꾸덕하게 오래 남는 타입이라기보다는, 가볍게 수분 채워주는 느낌이라 지성이나 수분 부족형 피부에 더 잘 맞을 것 같아요. 건성 피부는 계절에 따라 살짝 부족하게 느껴질 수도 있을 것 같아요.

꾸준히 사용해보니까 피부가 크게 뒤집어지거나 자극 느껴지는 부분은 없었고, 전체적으로 편안하게 유지되는 느낌이라 무난하게 쓰기 좋은 제품이에요.

용량도 2입 구성이라 가성비 괜찮은 편이고, 부담 없이 데일리용으로 쓰기 좋은 수분크림 찾는 분들한테 잘 맞을 것 같아요.
        
        
              
                ... 더 보기"
5,2026.05.17,,,,FALSE,재구매템이에요 제형이 마음에 들어서 또 구매했어요 유분감 크게 없이 띡하고 많이 바를 수록 더 진정되는 느낌 있습니다!
5,2026.05.11,,,,TRUE,"보습력이 좋아서 건조했던 피부가 오래 촉촉하게 유지돼요.
발림성도 부드럽고 끈적임 없이 흡수돼서 부담 없이 사용하기 좋았습니다.
메이크업 전에 발라도 밀리지 않아서 데일리 크림으로 만족하며 쓰고 있어요."
5,2026.05.10,복합성,봄웜톤,"각질, 모공",FALSE,"아누아 크림이랑 에센스 2년 가까이 사용중입니다
돌고돌아 다시돌아온 아누아 크림만 쓰면 효과가 들하니 에센스랑 꼭 같이 사횽하새요ㅠㅜ"
5,2026.05.04,,,,FALSE,촉촉하고 흡수도 좋아요 수부지피부라 수분을 중요시하는데 이 제품은 좋아요
